,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours,Reason for absence_0.0,Reason for absence_1.0,Reason for absence_2.0,Reason for absence_3.0,Reason for absence_4.0,Month of absence_1.0,Month of absence_2.0,Month of absence_3.0,Month of absence_4.0,Month of absence_5.0,Month of absence_6.0,Month of absence_7.0,Month of absence_8.0,Month of absence_9.0,Month of absence_10.0,Month of absence_11.0,Month of absence_12.0,Day of the week_3,Day of the week_4,Day of the week_5,Day of the week_6,Seasons_2,Seasons_3,Seasons_4,Son_1.0,Son_2.0,Son_3.0,Son_4.0
0,0.9950268881030107,0.4555464142722278,0.11523972967883148,-0.5277650026017775,-0.8291466059412933,0.6466359632764344,-0.24019223070763074,-0.4580544452229386,0.8823870835263454,-0.2858223266656663,0.17525182382530616,0.8574724627811177,-0.03127816606562803,-0.052407275349232035,-0.24007720693696588,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,-1.5455905256150444,-1.1058251536116377,1.256464199489975,2.075359525308538,-0.8291466059412933,0.6466359632764344,4.163331998932266,-0.4580544452229386,0.8823870835263454,-0.2858223266656663,-0.5750778410554958,1.48308016586015,0.9500605292973985,-0.006949930286454504,-0.5369301303436769,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2,-0.6392884072711769,1.473832219413879,1.256464199489975,0.23785985854831537,-0.8291466059412933,0.6466359632764344,-0.24019223070763074,-0.4580544452229386,0.8823870835263454,-0.2858223266656663,-0.5750778410554958,0.7792714998962387,-0.3583910645199702,-0.006949930286454504,-0.3885036686403214,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,0.8464527703417208,-1.6489109163538518,0.34348462364106014,0.39098483077833396,-0.8291466059412933,0.6466359632764344,-0.24019223070763074,-0.4580544452229386,0.8823870835263454,3.4986769986297306,-0.5750778410554958,-0.8629487206862213,-0.6855039629743124,-0.3251513457258972,-0.24007720693696588,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
4,0.9950268881030107,0.4555464142722278,0.11523972967883148,-0.5277650026017775,-0.8291466059412933,0.6466359632764344,-0.24019223070763074,-0.4580544452229386,0.8823870835263454,-0.2858223266656663,0.17525182382530616,0.8574724627811177,-0.03127816606562803,-0.052407275349232035,-0.3885036686403214,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
5,-0.6392884072711769,1.473832219413879,1.256464199489975,0.23785985854831537,-0.8291466059412933,0.6466359632764344,-0.24019223070763074,-0.4580544452229386,0.8823870835263454,-0.2858223266656663,-0.5750778410554958,0.7792714998962387,-0.3583910645199702,-0.006949930286454504,0.20520217817310055,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,1.6389386374896406e-16,1.5417179397566558,-2.1672092099434552,-1.2933898637518704,-0.8291466059412933,0.6466359632764344,-0.24019223070763074,-0.4580544452229386,0.8823870835263454,-0.2858223266656663,2.4262408184677122,0.07546283393232728,-0.03127816606562803,-0.1887793105375646,0.05677571646974509,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
7,0.5641619465952703,1.4059464990711024,-0.3412500582456258,-0.06839008591172174,-0.8291466059412933,0.6466359632764344,-0.24019223070763074,-0.4580544452229386,0.8823870835263454,-0.2858223266656663,-0.5750778410554958,-1.0975516093408584,-0.6855039629743124,-0.37060869078867476,-0.24007720693696588,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
8,-0.9958662898982723,-1.1737108739544144,0.34348462364106014,-0.37464003037175886,-0.8291466059412933,0.6466359632764344,-0.24019223070763074,-0.4580544452229386,0.8823870835263454,-0.2858223266656663,-0.5750778410554958,1.2484772772055128,3.8940766153864783,-0.27969400066311967,2.431599103723433,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,0.192726652192046,-1.2415965942971912,0.34348462364106014,0.08473488631829683,-0.8291466059412933,0.6466359632764344,-0.24019223070763074,2.183146589731909,-1.133289481078565,-0.2858223266656663,0.17525182382530616,0.7010705370113596,-0.03127816606562803,-0.09786462041200956,0.05677571646974509,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,0.5641619465952703,1.4059464990711024,-0.3412500582456258,-0.06839008591172174,-0.8291466059412933,0.6466359632764344,-0.24019223070763074,-0.4580544452229386,0.8823870835263454,-0.2858223266656663,-0.5750778410554958,-1.0975516093408584,-0.6855039629743124,-0.37060869078867476,0.05677571646974509,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,0.5641619465952703,1.4059464990711024,-0.3412500582456258,-0.06839008591172174,-0.8291466059412933,0.6466359632764344,-0.24019223070763074,-0.4580544452229386,0.8823870835263454,-0.2858223266656663,-0.5750778410554958,-1.0975516093408584,-0.6855039629743124,-0.37060869078867476,0.05677571646974509,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
12,0.5641619465952703,1.4059464990711024,-0.3412500582456258,-0.06839008591172174,-0.8291466059412933,0.6466359632764344,-0.24019223070763074,-0.4580544452229386,0.8823870835263454,-0.2858223266656663,-0.5750778410554958,-1.0975516093408584,-0.6855039629743124,-0.37060869078867476,0.05677571646974509,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
13,-0.6392884072711769,1.473832219413879,1.256464199489975,0.23785985854831537,-0.8291466059412933,0.6466359632764344,-0.24019223070763074,-0.4580544452229386,0.8823870835263454,-0.2858223266656663,-0.5750778410554958,0.7792714998962387,-0.3583910645199702,-0.006949930286454504,-0.4627168994919991,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,-0.6392884072711769,1.473832219413879,1.256464199489975,0.23785985854831537,-0.8291466059412933,0.6466359632764344,-0.24019223070763074,-0.4580544452229386,0.8823870835263454,-0.2858223266656663,-0.5750778410554958,0.7792714998962387,-0.3583910645199702,3.6914392337536808,-0.24007720693696588,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,0.3561581817294648,-0.29119650949831655,0.7999744115655175,0.6972347752383711,-0.8291466059412933,0.6466359632764344,-0.24019223070763074,-0.4580544452229386,0.8823870835263454,-0.2858223266656663,-0.5750778410554958,-0.9411496835711003,-0.3583910645199702,5.368550740346177,0.20520217817310055,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,1.6389386374896406e-16,1.473832219413879,1.256464199489975,0.23785985854831537,-0.8291466059412933,0.6466359632764344,-0.24019223070763074,-0.4580544452229386,0.8823870835263454,-0.2858223266656663,-0.5750778410554958,0.7792714998962387,-0.3583910645199702,-0.006949930286454504,-0.3885036686403214,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,-0.6392884072711769,1.473832219413879,1.256464199489975,0.23785985854831537,-0.8291466059412933,0.6466359632764344,-0.24019223070763074,-0.4580544452229386,0.8823870835263454,-0.2858223266656663,-0.5750778410554958,0.7792714998962387,-0.3583910645199702,-0.006949930286454504,0.05677571646974509,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,-0.49071428950988694,-0.019653628127209482,0.11523972967883148,-0.5277650026017775,-0.8291466059412933,0.6466359632764344,-0.24019223070763074,-0.4580544452229386,-1.133289481078565,-0.2858223266656663,0.9255814887061082,-0.7847477578013422,-0.8490604122014835,-0.27969400066311967,0.05677571646974509,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
19,0.3858730052817227,-0.29119650949831655,0.34348462364106014,1.6159846086184824,-1.6913192483442092,-0.6766173674123195,-0.24019223070763074,-0.4580544452229386,-1.133289481078565,-0.2858223266656663,0.17525182382530616,0.5446686112416015,-1.1761733106558256,0.03850741477632302,-0.3885036686403214,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
20,1.6041807709242988,-0.9021679925833074,-1.9389643159812262,-1.2933898637518704,-1.6913192483442092,-0.6766173674123195,-0.24019223070763074,2.183146589731909,-1.133289481078565,-0.2858223266656663,-0.5750778410554958,0.3882666854718434,1.604286326206083,-0.27969400066311967,0.20520217817310055,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
